C0001,1559,3988,4346,9893
C0002,2998,8309,7631,18938
C0003,1283,3345,3550,8178
C0004,1262,4134,2528,7924
C0005,994,2830,2740,6564
C0008,976,2669,2615,6260
C0009,1803,4557,4926,11286
C0010,3124,9967,6429,19520
C0013,4656,13498,8524,26678
C0014,2534,7109,5247,14890
C0017,5157,13232,15057,33446
C0018,2889,9221,6402,18512
C0019,5841,17582,13265,36688
C0020,1749,4766,4853,11368
C0021,1427,3792,3898,9117
C0022,2018,5731,5148,12897
C0024,2960,9112,4415,16487
C0025,1486,4120,3871,9477
C0026,4127,12995,8880,26002
C0028,2527,6969,6966,16462
C0029,2607,7473,6546,16626
C0030,3767,12495,7934,24196
C0031,3424,9223,9139,21786
C0032,1499,4810,3395,9704
C0033,2182,3743,8039,13964
C0035,3561,10202,8799,22562
C0036,4360,13241,9801,27402
C0037,4167,12555,9570,26292
C0038,3588,9712,9616,22916
C0039,3266,10970,6281,20517
C0040,3480,10245,8680,22405
C0041,4588,12488,11934,29010
C0045,4671,16304,8496,29471
C0046,2190,5997,5520,13707
C0048,2244,6136,6156,14536
C0050,3787,11532,8153,23472
C0051,5477,18995,9910,34382
C0052,1572,5059,3336,9967
C0053,2791,10026,4429,17246
C0054,940,2712,2310,5962
C0055,2741,6868,7762,17371
C0056,3140,8375,8829,20344
C0057,2736,7236,7607,17579
C0058,4660,15950,8988,29598
C0059,4046,12895,8010,24951
C0060,2762,8422,5980,17164
C0062,2954,9038,3592,15584
C0063,4847,15963,8486,29296
C0064,3465,9667,7472,20604
C0065,3155,6483,10479,20117
C0066,9108,16765,31451,57324
C0067,3721,9904,10036,23661
C0068,4793,13959,9186,27938
C0069,5604,12795,15645,34044
C0070,2683,7874,6566,17123
C0071,1651,5164,3299,10114
C0072,2683,4070,9402,16155
C0073,1727,5248,3812,10787
C0074,11159,36427,21920,69506
C0075,4361,14392,8323,27076
C0076,2265,6516,5336,14117
C0079,2692,8151,6080,16923
C0080,3257,9719,7717,20693
C0082,3543,9100,10416,23059
C0084,4633,13081,11651,29365
C0086,4220,12318,8237,24775
C0087,4310,12580,10575,27465
C0088,2222,6966,4116,13304
C0090,3042,9820,3955,16817
C0091,3000,8845,7346,19191
C0092,3932,10710,10258,24900
C0093,2999,8853,7302,19154
C0094,2185,6541,5194,13920
C0095,3294,8160,9347,20801
C0098,5560,12775,15804,34139
C0099,2993,7812,6807,17612
C0100,3061,9369,7251,19681
C0101,5503,19354,9291,34148
C0102,6748,24896,10032,41676
C0103,4045,11110,10609,25764
C0104,3390,8480,8228,20098
C0105,3795,8153,10395,22343
C0106,3565,12173,6547,22285
C0107,2413,8085,4814,15312
C0108,4492,13952,9644,28088
C0109,5475,11797,16224,33496
C0110,7034,19773,17522,44329
C0111,3180,8516,8181,19877
C0113,4425,11566,12048,28039
C0114,2401,6827,5945,15173
C0115,4025,14957,4393,23375
C0116,3264,9380,8078,20722
C0117,3068,8520,8228,19816
C0118,5377,14646,12063,32086
C0119,1313,3208,3347,7868
C0120,3558,9715,9562,22835
C0121,3597,10270,9094,22961
C0123,3544,10345,8376,22265
C0124,4778,14643,10988,30409
C0125,5833,18832,12117,36782
C0128,3446,11333,6763,21542
C0132,2388,6952,5376,14716
C0135,3810,9392,11200,24402
C0136,2674,7253,6884,16811
C0137,2264,6137,5082,13483
C0142,3769,10364,8226,22359
C0143,2691,6908,7701,17300
C0144,6361,18551,15435,40347
C0145,5354,15538,11476,32368
C0146,7599,22995,16965,47559
C0147,2459,6462,5967,14888
C0148,5189,15268,12529,32986
C0149,1970,5549,4026,11545
C0151,5953,16871,14716,37540
C0152,8953,31826,14242,55021
C0153,3410,6950,11022,21382
C0154,5146,15245,11971,32362
C0155,4223,12703,8418,25344
C0156,2719,10203,3148,16070
C0159,6698,18584,12614,37896
C0160,3847,9706,11358,24911
C0161,4695,12887,12246,29828
C0163,5312,16002,12929,34243
C0164,3235,8801,8411,20447
C0165,2910,8776,6908,18594
C0166,3979,9839,11714,25532
C0168,1095,3577,2232,6904
C0169,3270,10052,7470,20792
C0170,1926,5257,5185,12368
C0172,4337,12455,10337,27129
C0174,4787,12258,12986,30031
C0177,10353,35167,19998,65518
C0179,3144,9498,7401,20043
C0180,4077,11078,10745,25900
C0182,5403,15502,13733,34638
C0183,3650,10337,9247,23234
C0184,3389,7939,9419,20747
C0185,1815,3778,5652,11245
C0202,887,1960,2332,5179
C0203,1623,4133,4709,10465
C0205,3000,6903,9514,19417
C0207,2791,9110,6211,18112
C0209,2857,7074,8288,18219
C0210,5318,13423,15239,33980
C0212,1108,2370,3574,7052
C0215,1233,2941,3078,7252
C0216,1298,3501,2667,7466
C0217,3581,7137,12843,23561
C0218,2729,7592,7085,17406
C0220,1941,5545,4596,12082
C0221,2245,7528,4528,14301
C0222,4724,12223,13113,30060
C0223,4547,11905,12213,28665
C0224,4805,12555,13417,30777
C0225,2806,6488,8663,17957
C0226,4669,18427,6081,29177
C0227,3317,11220,6519,21056
C0231,2812,6596,8737,18145
C0232,1887,4038,6102,12027
C0233,1913,5236,4780,11929
C0243,1608,4778,3882,10268
C0245,3952,10216,10468,24636
C0246,3549,10964,7065,21578
C0247,2833,7909,6536,17278
C0248,3135,10202,6273,19610
C0249,2941,6847,9121,18909
C0252,3009,8193,7595,18797
C0253,6086,15837,16711,38634
C0267,1943,4148,6534,12625
C0269,807,1729,2689,5225
C0270,856,2390,1896,5142
C0271,2009,4441,6064,12514
C0272,805,1760,2524,5089
C0273,2394,5864,7239,15497
C0274,1236,2495,4288,8019
C0275,1172,1840,4265,7277
C0276,872,1335,3478,5685
C0277,3843,10402,9958,24203
C0278,1301,2529,4468,8298
C0279,2676,7881,6414,16971
C0280,1431,3197,4163,8791
C0281,885,2384,1875,5144
C0284,998,2638,2657,6293
C0286,838,1951,2604,5393
C0287,1602,5627,2644,9873
C0288,1368,3258,4174,8800
C0292,1773,4701,4799,11273
C0294,2048,5079,5792,12919
C0296,2900,6558,9113,18571
C0305,1388,3722,3062,8172
C0306,4097,13063,8639,25799
C0308,864,2873,1746,5483
C0310,3777,11434,9141,24352
C0311,2114,3558,8244,13916
C0319,5961,18279,12998,37238
