C0001,20150501,628
C0001,20150503,468
C0001,20150504,194
C0001,20150505,6692
C0001,20150506,2598
C0001,20150507,9893
C0001,20150509,10874
C0001,20150513,3988
C0001,20150515,7153
C0001,20150516,7527
C0001,20150517,4373
C0001,20150518,1801
C0001,20150519,555
C0001,20150520,578
C0001,20150522,5623
C0001,20150525,4705
C0001,20150527,2973
C0001,20150528,4637
C0001,20150530,5390
C0002,20150501,1464
C0002,20150503,1100
C0002,20150504,433
C0002,20150505,14235
C0002,20150506,5556
C0002,20150507,18938
C0002,20150509,29327
C0002,20150513,8309
C0002,20150515,13993
C0002,20150516,16243
C0002,20150517,10007
C0002,20150518,4597
C0002,20150519,1215
C0002,20150520,827
C0002,20150522,10911
C0002,20150525,11435
C0002,20150527,6633
C0002,20150528,11537
C0002,20150530,12826
C0003,20150501,538
C0003,20150503,387
C0003,20150504,143
C0003,20150505,5787
C0003,20150506,2067
C0003,20150507,8178
C0003,20150509,8948
C0003,20150513,3345
C0003,20150515,6029
C0003,20150516,5976
C0003,20150517,3494
C0003,20150518,1544
C0003,20150519,499
C0003,20150520,499
C0003,20150522,4294
C0003,20150525,4026
C0003,20150527,2604
C0003,20150528,4163
C0003,20150530,4175
C0004,20150501,405
C0004,20150503,341
C0004,20150504,151
C0004,20150505,5742
C0004,20150506,1995
C0004,20150507,7924
C0004,20150509,8397
C0004,20150513,4134
C0004,20150515,5857
C0004,20150516,7059
C0004,20150517,3235
C0004,20150518,2150
C0004,20150519,447
C0004,20150520,384
C0004,20150522,5104
C0004,20150525,3872
C0004,20150527,2601
C0004,20150528,3991
C0004,20150530,4612
C0005,20150501,420
C0005,20150503,345
C0005,20150504,137
C0005,20150505,4945
C0005,20150506,1804
C0005,20150507,6564
C0005,20150509,6881
C0005,20150513,2830
C0005,20150515,5105
C0005,20150516,4783
C0005,20150517,2898
C0005,20150518,1343
C0005,20150519,390
C0005,20150520,393
C0005,20150522,4838
C0005,20150525,3287
C0005,20150527,2066
C0005,20150528,3631
C0005,20150530,3451
C0008,20150501,397
C0008,20150503,320
C0008,20150504,168
C0008,20150505,4581
C0008,20150506,1798
C0008,20150507,6260
C0008,20150509,8081
C0008,20150513,2669
C0008,20150515,4787
C0008,20150516,4165
C0008,20150517,2881
C0008,20150518,1387
C0008,20150519,449
C0008,20150520,414
C0008,20150522,3785
C0008,20150525,3633
C0008,20150527,2185
C0008,20150528,3753
C0008,20150530,3778
C0009,20150501,515
C0009,20150503,310
C0009,20150504,182
C0009,20150505,7071
C0009,20150506,2504
C0009,20150507,11286
C0009,20150509,9776
C0009,20150513,4557
C0009,20150515,8041
C0009,20150516,7239
C0009,20150517,3318
C0009,20150518,2061
C0009,20150519,555
C0009,20150520,617
C0009,20150522,5809
C0009,20150525,5184
C0009,20150527,3292
C0009,20150528,5100
C0009,20150530,4571
C0010,20150501,1080
C0010,20150503,802
C0010,20150504,304
C0010,20150505,13461
C0010,20150506,4596
C0010,20150507,19520
C0010,20150509,25620
C0010,20150513,9967
C0010,20150515,11717
C0010,20150516,12273
C0010,20150517,5349
C0010,20150518,3586
C0010,20150519,884
C0010,20150520,849
C0010,20150522,8654
C0010,20150525,7939
C0010,20150527,4680
C0010,20150528,8122
C0010,20150530,7139
C0013,20150501,1678
C0013,20150503,1360
C0013,20150504,501
C0013,20150505,19468
C0013,20150506,6471
C0013,20150507,26678
C0013,20150509,40835
C0013,20150513,13498
C0013,20150515,22588
C0013,20150516,23667
C0013,20150517,11900
C0013,20150518,6457
C0013,20150519,1759
C0013,20150520,1458
C0013,20150522,16205
C0013,20150525,15235
C0013,20150527,9202
C0013,20150528,14428
C0013,20150530,17686
C0014,20150501,308
C0014,20150503,276
C0014,20150504,121
C0014,20150505,9926
C0014,20150506,3462
C0014,20150507,14890
C0014,20150509,11695
C0014,20150513,7109
C0014,20150515,9509
C0014,20150516,7913
C0014,20150517,2619
C0014,20150518,3119
C0014,20150519,827
C0014,20150520,886
C0014,20150522,7959
C0014,20150525,6938
C0014,20150527,4631
