C0001,9893,10874
C0002,18938,29327
C0003,8178,8948
C0004,7924,8397
C0005,6564,6881
C0008,6260,8081
C0009,11286,11286
C0010,19520,25620
C0013,26678,40835
C0014,14890,14890
C0017,33446,50646
C0018,18512,30739
C0019,36688,50492
C0020,11368,17512
C0021,9117,9117
C0022,12897,12921
C0024,16487,21209
C0025,9477,11595
C0026,26002,34034
C0028,16462,23726
C0029,16626,24575
C0030,24196,53326
C0031,21786,32717
C0032,9704,15993
C0033,13964,22571
C0035,22562,26387
C0036,27402,27505
C0037,26292,30082
C0038,22916,35437
C0039,20517,23970
C0040,22405,27735
C0041,29010,44106
C0045,29471,40415
C0046,13707,17623
C0048,14536,17676
C0050,23472,24875
C0051,34382,36784
C0052,9967,15341
C0053,17246,22911
C0054,5962,6033
C0055,17371,20739
C0056,20344,26813
C0057,17579,23728
C0058,29598,41598
C0059,24951,25794
C0060,17164,17164
C0062,15584,30442
C0063,29296,42324
C0064,20604,30760
C0065,20117,30437
C0066,57324,78829
C0067,23661,29817
C0068,27938,34335
C0069,34044,41111
C0070,17123,23800
C0071,10114,13412
C0072,16155,16155
C0073,10787,15532
C0074,69506,83767
C0075,27076,35001
C0076,14117,14117
C0079,16923,16923
C0080,20693,20693
C0082,23059,29137
C0084,29365,37935
C0086,24775,26704
C0087,27465,33628
C0088,13304,14074
C0090,16817,21926
C0091,19191,19966
C0092,24900,33993
C0093,19154,20249
C0094,13920,14134
C0095,20801,20818
C0098,34139,34139
C0099,17612,17612
C0100,19681,28587
C0101,34148,35649
C0102,41676,41676
C0103,25764,26464
C0104,20098,20098
C0105,22343,23197
C0106,22285,25914
C0107,15312,22269
C0108,28088,29615
C0109,33496,50974
C0110,44329,44329
C0111,19877,22331
C0113,28039,28039
C0114,15173,16950
C0115,23375,26144
C0116,20722,26736
C0117,19816,34944
C0118,32086,43376
C0119,7868,10505
C0120,22835,41782
C0121,22961,25773
C0123,22265,23220
C0124,30409,34280
C0125,36782,40549
C0128,21542,24266
C0132,14716,20361
C0135,24402,24402
C0136,16811,18110
C0137,13483,18729
C0142,22359,35938
C0143,17300,24769
C0144,40347,63831
C0145,32368,41916
C0146,47559,60513
C0147,14888,17521
C0148,32986,32986
C0149,11545,16750
C0151,37540,56089
C0152,55021,67682
C0153,21382,33972
C0154,32362,45211
C0155,25344,37839
C0156,16070,23833
C0159,37896,59471
C0160,24911,33457
C0161,29828,50458
C0163,34243,49502
C0164,20447,30910
C0165,18594,22840
C0166,25532,32612
C0168,6904,9723
C0169,20792,20792
C0170,12368,12368
C0172,27129,34593
C0174,30031,30031
C0177,65518,73129
C0179,20043,32121
C0180,25900,36951
C0182,34638,34638
C0183,23234,23234
C0184,20747,30379
C0185,11245,11245
C0202,5179,8179
C0203,10465,15182
C0205,19417,22390
C0207,18112,24708
C0209,18219,29116
C0210,33980,36450
C0212,7052,7236
C0215,7252,7252
C0216,7466,9469
C0217,23561,23561
C0218,17406,24491
C0220,12082,15076
C0221,14301,24581
C0222,30060,40820
C0223,28665,40728
